Timestamp,AccX,AccY,AccZ,Heart_IR
14:15:45,2952,-3968,-19192,0
14:15:45,2908,-3916,-18872,0
14:15:45,1808,-4004,-21424,0
14:15:45,5748,-6220,-19408,0
14:15:45,5236,-4548,-15616,0
14:15:45,6140,-1328,-12636,0
14:15:45,4288,376,-12120,0
14:15:45,4424,2176,-10872,0
14:15:45,5340,3020,-13928,0
14:15:45,3280,2228,-9632,0
14:15:45,4896,1548,-13684,0
14:15:45,3656,364,-14016,0
14:15:45,2788,104,-15256,0
14:15:45,2240,-1088,-16460,0
14:15:45,1544,-2008,-17412,0
14:15:45,1016,-2492,-18012,0
14:15:45,1664,-2892,-17592,0
14:15:45,1464,-2964,-17448,0
14:15:45,1716,-3080,-16992,0
14:15:45,2188,-2464,-16512,0
14:15:45,3012,-2460,-16408,0
14:15:45,3448,-2420,-16172,0
14:15:45,2596,-2524,-16052,0
14:15:45,3588,-2880,-16748,0
14:15:45,3200,-3152,-15428,0
14:15:45,4076,-3288,-16204,0
14:15:45,3964,-3176,-16048,0
14:15:45,3212,-3260,-16084,0
14:15:45,3504,-3032,-16920,0
14:15:45,3384,-3460,-16496,0
14:15:45,3948,-3256,-16380,0
14:15:45,4080,-2880,-16132,0
14:15:45,4140,-2952,-15592,0
14:15:45,4084,-2816,-15544,0
14:15:45,4152,-3028,-16008,0
14:15:45,3796,-3256,-15380,0
14:15:46,4204,-3420,-16172,0
14:15:46,3756,-3680,-15744,0
14:15:46,3644,-3552,-16212,0
14:15:46,3724,-3588,-16284,0
14:15:46,3684,-3620,-16004,0
14:15:46,3448,-3228,-16100,0
14:15:46,3720,-3344,-15796,0
14:15:46,3868,-3424,-15852,0
14:15:46,4312,-3424,-16060,0
14:15:46,3868,-3476,-15640,0
14:15:46,3932,-3392,-16244,0
14:15:46,3920,-3656,-16316,0
14:15:46,3456,-3256,-15836,0
14:15:46,3720,-3220,-16048,0
14:15:46,3820,-3384,-15752,0
14:15:46,3900,-3316,-15912,0
14:15:46,3920,-3280,-15976,0
14:15:46,3820,-3356,-15780,0
14:15:46,3556,-3100,-15776,0
14:15:46,3852,-3400,-16224,0
14:15:46,3912,-3376,-15980,0
14:15:46,3860,-3220,-15940,0
14:15:46,3920,-3356,-16216,0
14:15:46,3740,-3316,-15596,0
14:15:46,3972,-3152,-15796,0
14:15:46,3792,-3412,-15928,0
14:15:46,3776,-3628,-16008,0
14:15:46,3680,-3640,-16200,0
14:15:46,3708,-3776,-15912,0
14:15:46,4328,-4464,-16260,0
14:15:46,4788,-5944,-16432,0
14:15:46,5780,-5404,-17732,0
14:15:46,4848,3648,-18696,0
14:15:46,-1908,17288,-30852,0
14:15:46,-8496,32767,-32768,0
14:15:46,-5796,32767,-6576,0
14:15:46,-14964,12680,32767,0
14:15:46,-32768,-32768,6620,0
14:15:46,-8524,-32768,-25976,0
14:15:46,-11996,-9172,10096,0
14:15:46,-2804,12428,-644,0
14:15:46,-8608,1988,-15528,0
14:15:46,-5648,-5092,-21140,0
14:15:46,-1800,-7900,-13600,0
14:15:46,-1968,-6732,-20436,0
14:15:46,-2740,-5940,-15472,0
14:15:46,-1212,-3248,-18648,0
14:15:46,-484,-3708,-16756,0
14:15:46,-1840,-380,-17336,0
14:15:46,-92,-528,-17572,0
14:15:46,-2960,1956,-17804,0
14:15:46,-4556,5532,-20400,0
14:15:46,-6112,10408,-23792,0
14:15:46,-10544,26708,-28516,0
14:15:46,-18924,32767,-16640,0
14:15:47,-11048,32767,17424,0
14:15:47,-25396,-32768,32767,0
14:15:47,2688,-32768,-32768,0
14:15:47,-9952,15328,20368,0
14:15:47,-4884,9624,-7880,0
14:15:47,-11000,-10808,-17840,0
14:15:47,-12944,-12224,-16440,0
14:15:47,-1780,-13360,-14008,0
14:15:47,-3324,-13256,-11696,0
14:15:47,-5904,-12520,-15096,0
14:15:47,-3200,-10020,-14996,0
14:15:47,1668,-6916,-12200,0
14:15:47,-976,-7188,-15288,0
14:15:47,-2172,-5236,-19020,0
14:15:47,-4116,-3980,-18864,0
14:15:47,-3796,-1812,-19064,0
14:15:47,-7472,856,-17224,0
14:15:47,-11100,8176,-19276,0
14:15:47,-14588,13004,-18576,0
14:15:47,-20892,32767,-25336,0
14:15:47,-29984,32767,10800,0
14:15:47,-13180,-16692,28424,0
14:15:47,-6136,-32768,-19428,0
14:15:47,-5520,-32768,-9200,0
14:15:47,-8324,17504,8992,0
14:15:48,-48,-2260,-15664,0
14:15:48,-14164,-12472,-9504,0
14:15:48,-5512,-13672,-19144,0
14:15:48,-5784,-13668,-10520,0
14:15:48,-5996,-15312,-17496,0
14:15:48,-4600,-14680,-12932,0
14:15:48,-1596,-9728,-17072,0
14:15:48,-212,-8704,-15792,0
14:15:48,-6272,-3396,-18152,0
14:15:48,-5432,-1632,-17804,0
14:15:48,-8680,5016,-16672,0
14:15:48,-10884,11608,-20212,0
14:15:48,-15664,20812,-18744,0
14:15:48,-14780,32767,-18232,0
14:15:48,-18192,32767,13976,0
14:15:48,-9500,-9440,28752,0
14:15:48,-8580,-32768,-23036,0
14:15:48,-9128,-32768,-14408,0
14:15:48,-7480,12684,3536,0
14:15:48,-5756,1628,-14152,0
14:15:48,-9248,-10188,-10900,0
14:15:48,-7948,-13708,-16744,0
14:15:48,-8184,-12108,-14644,0
14:15:48,-3788,-10844,-13716,0
14:15:48,-4396,-9568,-14508,0
14:15:49,-3792,-7616,-16320,0
14:15:49,-2064,-6400,-17040,0
14:15:49,-4908,684,-18852,0
14:15:49,-7276,5364,-16516,0
14:15:49,-14624,13320,-22848,0
14:15:49,-18860,21144,-18316,0
14:15:49,-19352,32767,-9448,0
14:15:49,-16164,32767,23360,0
14:15:49,-14644,-32768,32767,0
14:15:49,-11708,-32768,-32768,0
14:15:49,-12244,-22704,-6568,0
14:15:49,-3524,14648,240,0
14:15:49,-4452,1456,-10120,0
14:15:49,-8560,-12908,-16260,0
14:15:49,-9176,-16360,-20100,0
14:15:49,-6388,-15500,-14784,0
14:15:49,-3780,-14688,-14456,0
14:15:49,-6804,-9400,-11680,0
14:15:49,-7036,-5392,-11920,0
14:15:49,-3552,-3700,-13088,0
14:15:49,-3488,28,-12780,0
14:15:49,-3928,1896,-15536,0
14:15:49,-7032,4124,-17944,0
14:15:49,-8188,5424,-19944,0
14:15:49,-11400,8064,-23252,0
14:15:50,-12164,14704,-22916,0
14:15:50,-17216,31392,-12620,0
14:15:50,-17172,32767,13980,0
14:15:50,-6924,-28204,22952,0
14:15:50,-8824,-32768,-32768,0
14:15:50,-5304,-32768,-8860,0
14:15:50,-4292,14396,4796,0
14:15:50,-5368,1460,-11412,0
14:15:50,-9828,-8884,-15496,0
14:15:50,-7052,-13556,-18212,0
14:15:50,-6760,-10656,-17360,0
14:15:50,-3252,-10344,-13856,0
14:15:50,-3924,-7656,-16112,0
14:15:50,-5324,-4488,-14312,0
14:15:50,-3532,-1528,-16748,0
14:15:50,-3760,424,-14092,0
14:15:50,-5636,1728,-15164,0
14:15:50,-6348,4144,-17508,0
14:15:50,-6168,9644,-14108,0
14:15:50,-9516,15660,-15284,0
14:15:50,-11040,20220,-15848,0
14:15:50,-16068,32767,-13580,0
14:15:50,-14932,32767,19616,0
14:15:50,-8176,-32768,17980,0
14:15:50,-13408,-32768,-31496,0
14:15:51,-6616,-21044,-4752,0
14:15:51,-1384,13956,-2984,0
14:15:51,-5556,3564,-12772,0
14:15:51,-11124,-12224,-14456,0
14:15:51,-6076,-17128,-21376,0
14:15:51,-7272,-17160,-15900,0
14:15:51,-5416,-14004,-15464,0
14:15:51,-6248,-10028,-13904,0
14:15:51,-5728,-4544,-14344,0
14:15:51,-2332,-3236,-13264,0
14:15:51,-2608,-680,-14580,0
14:15:51,-6740,4256,-15628,0
14:15:51,-11216,11444,-16656,0
14:15:51,-13552,16820,-19004,0
14:15:51,-12796,19880,-18732,0
14:15:51,-12684,32767,-14284,0
14:15:51,-17984,30228,23148,0
14:15:51,-10456,-32768,14996,0
14:15:51,-12676,-32768,-22648,0
14:15:51,-3308,-18032,-2620,0
14:15:51,-3968,6984,-3432,0
14:15:51,-10708,-6576,-16260,0
14:15:51,-9632,-18960,-15408,0
14:15:51,-5592,-18316,-16700,0
14:15:51,-6424,-13248,-14640,0
14:15:52,-5652,-8800,-13156,0
14:15:52,-6488,-4336,-13064,0
14:15:52,-6524,-228,-13500,0
14:15:52,-4212,-1336,-15732,0
14:15:52,-3984,-48,-15004,0
14:15:52,-7048,3052,-15280,0
14:15:52,-11532,8284,-19792,0
14:15:52,-14280,14716,-18052,0
14:15:52,-14140,24076,-13912,0
14:15:52,-15964,32767,516,0
14:15:52,-15388,11520,29284,0
14:15:52,-4444,-32768,-17376,0
14:15:52,-16440,-32768,-28692,0
14:15:52,1272,528,1032,0
14:15:52,-2432,6196,-6600,0
14:15:52,-10788,-460,-13312,0
14:15:52,-16996,-6880,-9312,0
14:15:52,-17280,-1884,-13512,0
14:15:52,-14060,12,-2872,0
14:15:52,-13048,3220,-3892,0
14:15:52,-16048,7624,2752,0
14:15:52,-9308,7484,10208,0
14:15:52,-9248,7108,12572,0
14:15:52,-8316,7704,12984,0
14:15:52,-6712,3284,12412,0
14:15:53,-7196,6960,15688,0
14:15:53,-3572,4120,14340,0
14:15:53,-6316,7256,17372,0
14:15:53,-2904,2896,17044,0
14:15:53,-4352,2372,17152,0
14:15:53,-756,3340,15708,0
14:15:53,-2712,2884,14996,0
14:15:53,-5416,1808,12904,0
14:15:53,7892,3888,17572,0
14:15:53,-21952,2516,29432,0
14:15:53,-13732,3748,16984,0
14:15:53,-6904,1224,16252,0
14:15:53,-6288,300,15220,0
14:15:53,-6296,248,15192,0
14:15:53,-6212,348,15280,0
14:15:53,-6340,324,15076,0
14:15:53,-6468,240,15008,0
14:15:53,-6412,204,15028,0
14:15:53,-6284,264,15076,0
14:15:53,-6284,272,14984,0
14:15:53,-6304,288,14996,0
14:15:53,-6356,272,15056,0
14:15:53,-6288,324,15076,0
14:15:53,-6344,308,15096,0
14:15:53,-6260,164,15052,0
14:15:54,-6372,304,15064,0
14:15:54,-6268,236,15084,0
14:15:54,-6340,308,15036,0
14:15:54,-6308,348,15024,0
14:15:54,-6300,268,15036,0
14:15:54,-6280,320,15028,0
14:15:54,-6308,224,15052,0
14:15:54,-6284,160,15056,0
14:15:54,-6264,276,15112,0
14:15:54,-6300,344,15108,0
14:15:54,-6324,236,15096,0
14:15:54,-6232,280,15040,0
14:15:54,-6240,292,15040,0
14:15:54,-6268,252,15120,0
14:15:54,-6268,276,15060,0
14:15:54,-6276,312,15084,0
14:15:54,-6272,264,15064,0
14:15:54,-6272,228,15056,0
14:15:54,-6220,232,15012,0
14:15:54,-6252,276,15096,0
14:15:54,-6256,240,14988,0
14:15:54,-6232,260,15096,0
14:15:54,-6220,292,15052,0
14:15:54,-6252,240,15052,0
14:15:54,-6264,220,15128,0
14:15:55,-6252,296,15084,0
14:15:55,-6292,296,15116,0
14:15:55,-6244,288,15092,0
14:15:55,-6316,292,15064,0
14:15:55,-6280,280,15056,0
14:15:55,-6256,272,15072,0
14:15:55,-6292,240,14976,0
14:15:55,-6256,332,15092,0
14:15:55,-6292,196,15080,0
14:15:55,-6224,320,15072,0
14:15:55,-6288,268,15016,0
14:15:55,-6168,196,15136,0
14:15:55,-6296,272,15012,0
14:15:55,-6244,256,15088,0
14:15:55,-6268,304,15048,0
14:15:55,-6312,236,15008,0
14:15:55,-6312,276,15076,0
14:15:55,-6196,220,15000,0
14:15:55,-6244,252,15060,0
14:15:55,-6244,224,15088,0
14:15:55,-6212,288,15040,0
14:15:55,-6312,260,15084,0
14:15:55,-6200,224,15052,0
14:15:55,-6232,224,15016,0
14:15:55,-6208,276,15044,0
14:15:56,-6320,324,15064,0
14:15:56,-6200,188,15076,0
14:15:56,-6252,300,15048,0
14:15:56,-6264,292,14984,0
14:15:56,-6236,204,15060,0
14:15:56,-6196,192,15064,0
14:15:56,-6240,232,15112,0
14:15:56,-6260,260,15080,0
14:15:56,-6192,232,15076,0
14:15:56,-6216,288,15080,0
14:15:56,-6256,224,15060,0
14:15:56,-6228,296,15148,0
14:15:56,-6120,260,15096,0
14:15:56,-6256,240,15116,0
14:15:56,-6220,240,15064,0
14:15:56,-6216,280,15116,0
14:15:56,-6232,220,15136,0
14:15:56,-6220,248,15104,0
14:15:56,-6232,192,15080,0
14:15:56,-6288,204,15080,0
14:15:56,-6284,260,15016,0
14:15:56,-6196,264,15052,0
14:15:56,-6272,204,15068,0
14:15:56,-6224,244,15040,0
14:15:56,-6296,244,15092,0
14:15:57,-6208,264,15108,0
14:15:57,-6300,220,15144,0
14:15:57,-6204,268,15032,0
14:15:57,-6208,224,15136,0
14:15:57,-6220,204,15148,0
14:15:57,-6220,232,15072,0
14:15:57,-6256,280,15092,0
14:15:57,-6212,264,15096,0
14:15:57,-6264,208,15072,0
14:15:57,-6184,308,15080,0
14:15:57,-6236,212,15148,0
14:15:57,-6228,280,15096,0
14:15:57,-6176,300,15092,0
14:15:57,-6256,208,15044,0
14:15:57,-6264,184,15140,0
14:15:57,-6212,292,15132,0
14:15:57,-6196,244,15136,0
14:15:57,-6204,248,15104,0
14:15:57,-6232,204,15060,0
14:15:57,-6160,208,15084,0
14:15:57,-6248,288,15096,0
14:15:57,-6220,176,15152,0
14:15:57,-6196,260,15092,0
14:15:57,-6180,308,15004,0
14:15:57,-6200,244,15128,0
14:15:58,-6232,264,15084,0
14:15:58,-6228,212,15068,0
14:15:58,-6112,296,15124,0
14:15:58,-6144,308,15068,0
14:15:58,-6096,196,15096,0
14:15:58,-6224,292,15100,0
14:15:58,-6256,252,15088,0
14:15:58,-6224,236,15096,0
14:15:58,-6188,296,15112,0
14:15:58,-6252,256,15060,0
14:15:58,-6256,300,15120,0
14:15:58,-6232,260,15136,0
14:15:58,-6204,236,15068,0
14:15:58,-6120,220,15084,0
14:15:58,-6160,256,15056,0
14:15:58,-6216,212,15020,0
14:15:58,-6116,212,15076,0
14:15:58,-6224,204,15060,0
14:15:58,-6184,344,15104,0
14:15:58,-6160,248,15120,0
