Timestamp,AccX,AccY,AccZ,Heart_IR
1775633217.8736284,-2696,-200,16092,208
1775633217.9505308,-2628,-244,16112,197
1775633217.993005,-2708,-276,16144,196
1775633218.033501,-2676,-212,16112,204
1775633218.074418,-2668,-196,16144,208
1775633218.1194627,-2676,-276,16176,246
1775633218.1644378,-2680,-272,16156,207
1775633218.209624,-2660,-288,16096,204
1775633218.2609437,-2696,-252,16164,207
1775633218.3108182,-2676,-240,16168,204
1775633218.3500361,-2652,-208,16096,221
1775633218.3892717,-2708,-288,16120,172
1775633218.4366887,-2592,-216,16112,211
1775633218.4868157,-2700,-240,16068,201
1775633218.5255725,-2696,-216,16104,184
1775633218.5638492,-2676,-284,16112,209
1775633218.6032708,-2696,-220,16144,209
1775633218.6488018,-2680,-196,16160,211
1775633218.6924417,-2636,-220,16140,211
1775633218.7269459,-2636,-296,16088,190
1775633218.7690637,-2664,-264,16068,201
1775633218.8164802,-2700,-228,16136,205
1775633218.853563,-2680,-228,16160,197
1775633218.8877492,-2660,-172,16072,204
1775633218.9214292,-2660,-284,16180,200
1775633218.9544263,-2608,-272,16080,207
1775633218.9862044,-2668,-244,16156,215
1775633219.0247567,-2632,-212,16192,213
1775633219.0596042,-2664,-184,16216,217
1775633219.0960941,-2680,-224,16136,205
1775633219.1293695,-2640,-304,16112,216
1775633219.161689,-2648,-224,16220,196
1775633219.1966672,-2636,-248,16184,198
1775633219.2327626,-2600,-112,16140,224
1775633219.266235,-2588,-108,16152,201
1775633219.3028705,-2740,-236,16104,208
1775633219.335787,-2736,-232,16184,208
1775633219.3681262,-2696,-216,16044,205
1775633219.4016025,-2712,-244,16144,206
1775633219.435602,-2728,-256,16116,215
1775633219.4690502,-2660,-172,16172,207
1775633219.5013227,-2684,-156,16132,198
1775633219.5352454,-2688,-208,16156,210
1775633219.5678751,-2688,-296,16140,187
1775633219.600907,-2840,-176,16188,205
1775633219.6353078,-3004,-312,16124,199
1775633219.6686563,-2788,-268,16060,206
1775633219.7013128,-2616,-196,16132,212
1775633219.7327442,-2616,-188,16228,205
1775633219.7695062,-2636,-272,16160,311
1775633219.8039503,-2668,-176,16088,358
1775633219.839655,-2664,-176,16120,444
1775633219.872832,-2652,-252,16164,587
1775633219.9041607,-2696,-212,16160,673
1775633219.9368408,-2688,-192,16156,729
1775633219.9692585,-2480,-672,16232,794
1775633220.0015633,-2504,-252,16172,887
1775633220.0380912,-2620,-128,16216,998
1775633220.0701625,-2524,-224,16248,968
1775633220.1118112,-2660,-184,16172,881
1775633220.154159,-2688,-200,16212,758
1775633220.195694,-2712,-196,16156,648
1775633220.2255723,-2652,-232,16108,595
1775633220.267334,-2608,-280,16112,532
1775633220.310023,-2696,-264,16168,495
1775633220.3501115,-2580,-152,16084,456
1775633220.3806415,-2660,-224,16156,402
1775633220.4122634,-2700,-260,16152,313
1775633220.443131,-2600,-280,16132,299
1775633220.4739764,-2644,-176,16116,294
1775633220.5042977,-2648,-144,16112,289
1775633220.5343559,-2600,-196,16080,290
1775633220.5646045,-2628,-292,16156,288
1775633220.594104,-2660,-264,16172,323
1775633220.624491,-2676,-272,16140,328
1775633220.6592867,-2608,-236,16096,332
1775633220.690806,-2620,-216,16120,348
1775633220.7209034,-2632,-240,16140,340
1775633220.7518556,-2636,-268,16184,348
1775633220.7825522,-2628,-196,16100,336
1775633220.8118553,-2688,-216,16128,340
1775633220.842256,-2684,-248,16168,360
