elapsed_ms,ax,ay,az
47719,-1883,7,34
47759,-1847,3,40
47799,-1831,5,37
47830,-1797,23,67
47880,-1827,80,77
47910,-1838,117,52
47950,-1852,112,73
47990,-1881,147,108
48030,-1905,141,127
48070,-1898,134,105
48110,-1895,162,111
48150,-1911,126,100
48210,-1877,148,92
48231,-1867,109,88
48273,-1877,120,97
48340,-1906,58,97
48383,-1931,37,78
48390,-1925,34,84
48430,-1935,25,89
48470,-1912,-5,71
48510,-1885,-12,35
48550,-1877,-9,25
48590,-1869,-7,47
48631,-1873,-3,47
48670,-1859,-38,47
48710,-1860,-9,42
48750,-1871,-29,39
48790,-1845,4,19
48831,-1869,74,-6
48870,-1844,75,-6
48923,-1819,119,15
48963,-1813,101,16
49014,-1914,107,27
49031,-1916,56,37
49070,-1937,49,60
49110,-1925,45,56
49151,-1905,40,19
49190,-1893,47,18
49231,-1892,25,-18
49270,-1910,29,-32
49311,-1903,-3,-16
49350,-1905,-25,-16
49390,-1896,-27,-26
49430,-1908,-15,-1
49471,-1860,2,-26
49510,-1863,-33,-6
49614,-1822,37,-16
49626,-1821,32,-23
49680,-1878,80,-24
49681,-1888,89,-1
49711,-1892,59,20
49751,-1923,41,17
49791,-1942,51,25
49832,-1936,58,19
49871,-1937,74,20
49912,-1938,59,-11
49951,-1902,46,-34
49991,-1917,56,-33
50032,-1896,61,-43
50071,-1886,11,-56
50112,-1883,27,-54
50151,-1885,4,-28
50224,-1843,12,-20
50233,-1837,10,-13
50271,-1872,-20,4
50347,-1889,17,9
50354,-1895,9,6
50394,-1871,30,-6
50464,-1879,32,10
50471,-1896,34,9
50511,-1904,31,27
50552,-1881,42,19
50591,-1883,26,40
50632,-1879,27,34
50671,-1876,25,47
50712,-1884,26,52
50752,-1893,12,56
50792,-1882,16,60
50831,-1889,-13,69
50872,-1874,37,69
50912,-1867,-19,51
50962,-1885,32,49
51016,-1884,4,61
51055,-1854,14,47
51074,-1858,16,45
51128,-1857,-10,58
51152,-1867,-4,44
51192,-1866,-12,62
51232,-1881,-35,56
51272,-1864,-36,68
51312,-1868,-33,64
51363,-1871,-40,81
51392,-1867,-38,73
51432,-1874,-21,79
51472,-1867,-54,71
51512,-1860,-23,80
51552,-1853,-21,85
51592,-1860,-16,106
51632,-1875,4,92
51684,-1888,5,77
51724,-1901,-22,104
51785,-1881,-5,86
51826,-1887,-34,48
51833,-1887,-32,53
51878,-1880,-6,48
51936,-1877,-29,53
51952,-1874,-34,52
51992,-1873,-44,44
52032,-1897,-51,62
52072,-1881,-61,54
52112,-1879,-44,80
52164,-1893,-82,39
52192,-1865,-47,22
52232,-1845,-24,40
52272,-1840,-79,43
52312,-1871,-19,39
52352,-1886,-54,69
52392,-1878,-52,59
52432,-1861,-44,63
52484,-1872,-45,61
52543,-1880,-21,51
52626,-1888,-39,64
52632,-1884,-46,83
52642,-1884,-50,86
52673,-1871,-28,65
52713,-1876,-31,92
52752,-1871,-57,53
52792,-1871,-13,64
52832,-1890,-64,40
52872,-1882,-32,55
52912,-1844,-36,51
52955,-1868,-71,70
52992,-1887,-29,46
53032,-1868,-54,50
53072,-1879,-39,41
53112,-1889,-43,38
53174,-1882,-51,58
53225,-1876,-51,46
53233,-1876,-46,30
53272,-1876,-49,49
53313,-1866,-60,62
53364,-1877,-47,39
53392,-1880,-70,53
53432,-1892,-52,65
53528,-1874,-57,71
53539,-1897,-56,68
53554,-1895,-63,42
53592,-1898,-39,60
53632,-1879,-58,65
53672,-1860,-28,65
53712,-1865,-14,53
53753,-1891,-23,67
53792,-1883,-14,80
53832,-1916,-53,84
53874,-1881,-57,83
53914,-1845,-28,65
53953,-1880,-28,22
53993,-1908,-9,5
54033,-1863,-50,-6
54094,-1810,-23,39
54156,-1859,-15,59
54165,-1857,1,65
54245,-1887,21,42
54254,-1890,26,59
54273,-1909,25,55
54313,-1957,-5,42
54353,-1908,-36,63
54393,-1903,-58,54
54433,-1913,-96,43
54473,-1889,3,-6
54513,-1866,-83,-25
54556,-1870,-2,-52
54593,-1854,9,-46
54633,-1859,-24,-32
54673,-1905,-55,23
54713,-2107,-185,107
54753,-2004,-230,98
54800,-1905,-14,5
54857,-1625,73,-37
54873,-1595,138,-29
54916,-1618,220,4
54965,-1743,125,95
54993,-1873,89,83
55033,-1998,77,142
55073,-2045,29,166
55113,-2003,-88,186
55154,-1959,60,110
55194,-1913,84,20
55234,-1906,123,-14
55274,-1863,172,-18
55314,-1905,81,-18
55365,-1924,81,-22
55394,-1919,32,9
55433,-1978,-18,-2
55507,-1953,41,-32
55514,-1952,44,-16
55575,-1800,10,-12
55624,-1666,110,31
55667,-1634,323,95
55674,-1646,373,111
55713,-1700,348,160
55760,-1799,130,215
55794,-1868,145,202
55834,-1885,169,166
55874,-1945,242,137
55914,-2003,191,126
55954,-1987,128,150
55994,-1911,15,170
56034,-1796,-76,124
56074,-1795,-29,148
56114,-1811,-93,120
56154,-1787,-77,142
56226,-1805,109,38
56235,-1770,81,80
56277,-1999,-4,23
56337,-1661,122,152
56386,-1707,143,222
56429,-1745,-4,174
56433,-1707,-23,192
56474,-1678,-210,154
56514,-1684,156,332
56554,-1640,-50,318
56594,-1848,-360,234
56660,-1848,-90,192
56674,-1876,88,126
56714,-1861,-263,86
56754,-1773,-426,137
56795,-1682,-227,28
56834,-1641,-61,93
56874,-1700,-111,38
56914,-1533,-142,201
56980,-2015,-184,273
57117,-2144,-251,234
57158,-2103,-227,283
57168,-2114,-260,260
57174,-2115,-193,377
57184,-911,-642,577
57194,-2488,-494,340
57234,-2190,-210,202
57274,-1946,48,469
57314,-1937,-99,514
57355,-1769,-716,692
57395,-1902,83,550
57457,-2031,-171,538
57475,-2005,-310,539
57514,-1796,-227,614
57554,-1660,-185,634
57594,-1560,-120,569
57634,-1020,-406,951
57749,-1594,-313,709
57760,-1593,-324,713
57774,-1638,-301,676
57796,-1586,-379,717
57834,-1636,-157,664
57901,-1587,-317,831
57915,-1588,-237,767
57955,-1616,-69,787
57996,-1695,-50,757
58057,-1582,-30,837
58109,-1590,-34,883
58115,-1552,-60,830
58156,-1577,-1,909
58195,-1505,97,880
58236,-1496,-106,946
58276,-1578,-39,868
58351,-1533,-104,864
58355,-1559,6,780
58395,-1570,345,624
58436,-1589,45,707
58476,-1516,-79,734
58515,-1552,60,615
58555,-1553,-55,602
58595,-1622,-99,490
58706,-1864,-127,544
58716,-1876,-10,531
58768,-1509,315,1165
58813,-1978,-213,183
58828,-1950,16,608
58836,-1964,-23,617
58876,-1985,-139,577
58915,-1797,-39,608
58955,-1782,32,525
58996,-1757,26,509
59066,-1777,-71,367
59075,-1749,-31,348
59115,-1651,41,475
59155,-1664,-16,478
59195,-1725,-139,453
59235,-1885,-202,308
59275,-1726,-65,359
59315,-1718,-165,435
59376,-1671,70,602
59427,-1873,115,385
59437,-1827,-30,508
59486,-1828,-119,542
59546,-1826,-210,532
59557,-1833,-200,502
59595,-1777,-98,427
59635,-1817,-214,412
59676,-1819,-272,411
59715,-1780,-184,393
59755,-1749,-99,403
59796,-1763,-116,359
59867,-1832,-35,439
59877,-1844,4,388
59916,-1808,82,380
59956,-1802,-40,370
59996,-1774,-119,394
60036,-1849,-132,380
60101,-1879,-145,418
60157,-1802,-61,413
60167,-1813,-28,391
