elapsed_ms,ir
47713,165965
47725,165969
47733,165964
47743,165941
47753,165946
47763,165976
47774,165976
47783,165977
47793,165994
47804,166003
47814,166040
47824,166055
47833,166067
47843,166069
47853,166058
47863,166058
47873,166058
47883,166051
47894,166060
47904,166054
47913,166053
47924,166062
47934,166055
47944,166085
47953,166082
47964,166081
47974,166090
47984,166080
47993,166088
48004,166088
48014,166094
48024,166115
48033,166121
48044,166121
48054,166132
48064,166120
48073,166129
48084,166130
48094,166125
48104,166127
48115,166129
48124,166139
48134,166115
48145,166137
48154,166110
48164,166131
48214,166073
48224,166052
48235,166052
48243,166002
48253,165985
48263,165977
48274,165953
48285,165958
48294,165981
48337,166007
48383,166075
48394,166136
48404,166118
48414,166122
48424,166131
48433,166076
48444,166131
48454,166119
48464,166122
48473,166096
48484,166138
48494,166141
48504,166143
48515,166145
48525,166181
48533,166141
48543,166138
48553,166139
48564,166174
48574,166171
48584,166160
48593,166172
48604,166193
48615,166205
48625,166216
48634,166221
48644,166219
48654,166233
48664,166241
48675,166246
48685,166261
48694,166273
48704,166281
48715,166280
48725,166281
48734,166277
48744,166289
48755,166292
48765,166305
48774,166313
48784,166307
48795,166308
48805,166319
48815,166314
48825,166335
48834,166348
48844,166361
48854,166359
48864,166378
48875,166383
48926,166311
48974,166297
49027,166364
49035,166358
49045,166337
49054,166349
49064,166361
49075,166351
49084,166354
49094,166356
49104,166346
49115,166365
49125,166356
49135,166383
49145,166370
49154,166386
49164,166346
49174,166365
49184,166375
49195,166396
49205,166413
49215,166409
49225,166410
49234,166386
49244,166380
49254,166366
49264,166379
49275,166409
49285,166429
49295,166420
49305,166417
49316,166432
49326,166432
49334,166431
49344,166417
49354,166409
49364,166406
49374,166417
49384,166417
49395,166487
49405,166498
49415,166479
49425,166502
49435,166497
49445,166488
49455,166520
49465,166499
49474,166470
49484,166478
49494,166489
49504,166474
49515,166536
49525,166513
49568,166539
49576,166503
49626,166396
49669,166408
49676,166448
49684,166452
49695,166466
49705,166471
49716,166475
49724,166480
49735,166507
49745,166534
49755,166524
49765,166535
49775,166536
49785,166549
49796,166554
49806,166543
49816,166550
49826,166545
49835,166552
49845,166534
49855,166529
49865,166542
49876,166535
49886,166530
49896,166545
49906,166507
49915,166507
49925,166526
49935,166524
49945,166529
49955,166538
49965,166549
49975,166552
49985,166558
49996,166580
50006,166568
50016,166560
50026,166559
50035,166546
50045,166584
50055,166572
50065,166585
50076,166561
50086,166570
50096,166585
50106,166599
50118,166575
50126,166598
50135,166609
50145,166616
50156,166617
50165,166606
50176,166613
50186,166634
50228,166554
50236,166528
50246,166493
50256,166452
50266,166436
50276,166426
50285,166417
50297,166437
50346,166463
50356,166432
50400,166509
50406,166493
50415,166520
50460,166541
50466,166571
50475,166544
50485,166538
50495,166536
50505,166535
50516,166572
50527,166537
50536,166568
50546,166580
50555,166552
50565,166568
50575,166559
50585,166575
50596,166613
50606,166623
50616,166618
50626,166629
50635,166578
50645,166640
50655,166654
50665,166667
50676,166671
50686,166686
50696,166688
50706,166703
50715,166704
