elapsed_ms,ir
47718,161654
47729,161671
47739,161759
47748,161670
47758,161728
47769,161718
47778,161731
47788,161774
47798,161797
47809,161801
47819,161811
47829,161835
47838,161864
47848,161881
47858,161879
47868,161885
47879,161830
47889,161831
47899,161766
47909,161760
47919,161791
47929,161776
47939,161752
47949,161759
47959,161751
47969,161718
47979,161687
47989,161659
47999,161638
48009,161638
48019,161615
48029,161588
48039,161584
48049,161574
48059,161549
48069,161537
48079,161505
48089,161501
48099,161485
48109,161477
48119,161499
48130,161502
48140,161472
48149,161465
48160,161458
48170,161429
48209,161352
48220,161349
48230,161310
48239,161277
48249,161231
48260,161173
48271,161182
48279,161148
48289,161119
48339,161195
48382,161251
48389,161230
48399,161310
48409,161328
48419,161360
48429,161369
48439,161369
48449,161449
48459,161479
48469,161514
48479,161454
48489,161580
48499,161584
48509,161632
48519,161650
48531,161644
48540,161602
48549,161599
48559,161622
48569,161716
48579,161744
48589,161744
48599,161714
48610,161718
48620,161776
48630,161863
48639,161906
48649,161963
48659,161995
48669,162011
48680,162047
48689,161994
48699,162045
48709,162065
48720,162126
48729,162143
48739,162152
48749,162158
48760,162245
48770,162270
48779,162249
48789,162267
48800,162310
48810,162322
48820,162334
48830,162347
48839,162300
48849,162296
48859,162323
48869,162305
48880,162390
48922,162242
48962,162310
48966,161776
48973,162136
49013,162180
49017,161963
49021,162222
49030,162111
49039,162088
49049,162107
49059,162039
49069,162043
49079,162095
49089,162002
49099,162027
49109,162048
49120,162207
49130,162200
49140,162221
49150,162233
49159,162123
49169,162107
49179,162140
49189,162129
49200,162267
49210,162332
49220,162339
49230,162355
49239,162214
49249,162203
49259,162201
49269,162219
49280,162334
49290,162355
49300,162353
49310,162359
49320,162275
49331,162251
49339,162262
49349,162289
49359,162285
49369,162255
49379,162266
49389,162295
49400,162448
49410,162436
49420,162447
49429,162336
49440,162420
49450,162457
49460,162445
49470,162463
49479,162367
49489,162401
49499,162465
49509,162514
49520,162589
49530,162579
49613,162544
49625,162417
49673,162309
49679,162269
49689,162197
49700,162241
49710,162266
49720,162164
49732,162361
49740,162276
49750,162266
49760,162286
49770,162265
49780,162253
49790,162227
49801,162231
49811,162236
49821,162230
49831,162214
49840,162213
49850,162202
49860,162189
49870,162185
49881,162155
49891,162164
49901,162143
49911,162129
49920,162155
49930,162164
49940,162160
49950,162181
49960,162186
49970,162217
49980,162241
49990,162246
50001,162233
50011,162236
50021,162245
50031,162241
50040,162270
50050,162309
50060,162341
50070,162373
50081,162362
50091,162371
50101,162376
50111,162361
50119,162316
50131,162402
50141,162386
50150,162438
50161,162457
50170,162462
50181,162476
50223,162474
50232,162129
50241,162457
50250,162421
50261,162385
50270,162353
50281,162284
50290,162229
50302,162181
50345,162172
50353,162145
50392,162195
50396,162309
50402,162234
50414,162179
50462,162276
50471,162333
50480,162240
50490,162343
50500,162366
50510,162337
50521,162340
50530,162337
50541,162275
50551,162279
50560,162324
50570,162269
50580,162365
50590,162354
50601,162346
50611,162381
50621,162407
50631,162406
50640,162413
50650,162426
50660,162433
50670,162450
50681,162505
50691,162512
50701,162538
50711,162550
50720,162515
50730,162526
50740,162528
50751,162566
50760,162584
50771,162588
50781,162597
50791,162635
50800,162637
50811,162683
50821,162699
50830,162654
50841,162670
50851,162636
50861,162615
50871,162592
50880,162548
50891,162570
50901,162515
50911,162483
50961,162267
50970,162223
51012,162423
51054,162392
51063,162528
51072,162524
51082,162365
51126,162491
51130,162453
51141,162608
51151,162677
51160,162588
51171,162669
51180,162583
51191,162661
51200,162578
51211,162672
51221,162665
51231,162703
51240,162580
51251,162690
51261,162694
51271,162718
51280,162584
51291,162734
51301,162740
51311,162772
51362,162792
51370,162661
51380,162692
51391,162826
51401,162858
51410,162726
51421,162786
51431,162777
51440,162712
51451,162817
51461,162832
51471,162867
51480,162757
51491,162874
51501,162830
51511,162795
51520,162684
51530,162685
51541,162760
51551,162759
51560,162631
51571,162706
51581,162660
51591,162581
51600,162471
51611,162516
51621,162496
51631,162501
51641,162410
51682,162479
51723,162446
51728,162692
51731,162502
51743,162618
51784,162623
51825,162534
51832,162672
51877,162725
51892,162710
51935,162770
