elapsed_ms,label,is_transition,activity_class,bpm,mean_mag,std_mag,peak_rel,peak_max,ppg_contact,bpm_fresh
47720,lying,1,3,67.85,1874.6,11.9,1.02,1910.2,1,0
48112,lying,1,3,67.85,1873.1,19.7,1.02,1914.4,1,0
48512,lying,1,3,67.85,1878.5,24.6,1.03,1937.2,1,0
48927,lying,1,3,67.85,1876.8,26.1,1.03,1937.2,1,0
49313,lying,1,3,67.85,1881.5,30.3,1.03,1938.5,1,0
49713,lying,1,3,67.85,1881.9,32.3,1.03,1938.5,1,0
50114,lying,1,3,67.85,1886.9,35.5,1.03,1942.8,1,0
50513,lying,1,3,67.85,1889.4,31.7,1.03,1942.8,1,0
50914,lying,1,3,67.85,1885.3,29.7,1.03,1942.8,1,0
51314,lying,1,3,67.85,1886.9,28.0,1.03,1942.8,1,0
51728,lying,1,3,67.85,1882.2,24.8,1.03,1942.8,1,0
52114,lying,1,3,67.85,1883.7,21.5,1.03,1942.8,1,0
52546,lying,1,3,67.85,1875.9,14.5,1.02,1904.4,1,0
52914,lying,1,3,67.85,1876.0,12.8,1.01,1904.0,1,0
53316,lying,1,3,67.85,1875.4,12.6,1.02,1904.0,1,0
53714,lying,1,3,67.85,1877.7,12.9,1.01,1904.0,1,0
54160,lying,1,3,67.85,1877.9,16.8,1.02,1918.6,1,0
54515,lying,1,3,72.33,1880.6,21.3,1.04,1957.5,1,1
54920,lying,1,3,72.33,1875.4,71.1,1.13,2117.8,1,1
55316,lying,1,3,72.33,1883.5,80.8,1.12,2117.8,1,1
55715,lying,1,3,72.33,1875.5,97.0,1.13,2117.8,1,1
56216,lying,1,3,73.40,1876.9,102.1,1.13,2117.8,1,1
56615,lying,1,0,73.40,1858.9,115.0,1.14,2117.8,1,1
57022,lying,1,2,73.40,1836.1,127.0,1.15,2117.8,1,1
57415,lying,1,3,74.04,1874.2,187.7,1.37,2559.3,1,1
57862,lying,1,2,74.04,1862.9,200.2,1.37,2559.3,1,1
58304,lying,1,2,74.04,1857.4,195.5,1.38,2559.3,1,1
58615,lying,1,2,74.04,1833.3,196.9,1.40,2559.3,1,1
59017,lying,1,2,74.04,1859.8,201.2,1.38,2559.3,1,1
59416,lying,1,2,74.04,1866.0,194.4,1.37,2559.3,1,1
59816,lying,1,2,74.04,1833.7,119.4,1.15,2108.0,1,1
60261,lying,1,2,74.04,1833.2,89.5,1.13,2071.8,1,1
60618,lying,1,2,74.04,1836.8,88.3,1.13,2071.8,1,1
61019,lying,1,0,74.04,1854.9,83.7,1.12,2071.8,1,1
61417,lying,1,2,74.04,1839.7,70.7,1.09,2004.8,1,0
61817,lying,1,2,74.04,1842.2,76.4,1.09,2004.8,1,0
62220,lying,1,2,74.04,1834.4,78.2,1.09,2004.8,1,0
62720,lying,0,2,74.04,1833.4,82.1,1.12,2047.5,1,0
63018,lying,0,2,74.04,1834.4,83.6,1.12,2047.5,1,0
63419,lying,0,2,74.04,1835.6,86.7,1.16,2125.9,1,0
63834,lying,0,2,74.04,1833.6,78.6,1.16,2125.9,1,0
64219,lying,0,2,74.04,1835.4,69.2,1.16,2125.9,1,0
64627,lying,0,2,74.04,1836.4,71.1,1.16,2125.9,1,0
65022,lying,0,2,74.04,1836.0,65.7,1.16,2125.9,1,0
65432,lying,0,2,74.04,2032.3,1389.3,6.23,12669.1,1,0
65819,lying,0,2,74.04,2031.0,1388.9,6.24,12669.1,1,0
66241,lying,0,2,74.04,2034.6,1388.6,6.23,12669.1,1,0
66621,lying,0,2,74.04,2023.4,1390.8,6.26,12669.1,1,0
67037,lying,0,2,74.04,2002.3,1394.9,6.33,12669.1,1,0
67421,lying,0,2,74.04,1985.0,1409.5,6.38,12669.1,1,0
67854,lying,0,1,74.04,1803.2,289.3,1.73,3122.4,1,0
68220,lying,0,1,74.04,1794.7,289.0,1.74,3122.4,1,0
68625,lying,0,1,74.04,1787.1,286.1,1.75,3122.4,1,0
69011,lying,0,1,74.04,1794.6,283.8,1.74,3122.4,1,0
69436,lying,0,1,74.04,1810.2,277.1,1.72,3122.4,1,0
69811,lying,0,2,74.04,1819.9,204.8,1.72,3122.4,1,0
70211,lying,0,3,74.04,1802.5,27.8,1.06,1915.1,1,0
70622,lying,0,2,74.04,1833.5,104.3,1.22,2243.5,1,0
71012,lying,0,2,74.04,1822.8,124.6,1.23,2243.5,1,0
71418,lying,0,2,74.04,1837.2,133.7,1.22,2243.5,1,0
71893,lying,0,0,74.04,1850.5,133.8,1.21,2243.5,1,0
72212,lying,0,0,74.04,1869.2,133.4,1.20,2243.5,1,0
72613,lying,0,3,74.04,1887.9,132.0,1.19,2243.5,1,0
73027,lying,0,0,74.04,1866.7,98.9,1.08,2008.2,1,0
73413,lying,0,3,74.04,1890.7,55.4,1.06,2008.2,1,0
73831,lying,0,3,74.04,1881.3,45.3,1.06,2001.2,1,0
74213,lying,0,3,74.04,1876.4,46.4,1.07,2001.2,1,0
74639,lying,0,0,74.04,1867.5,44.9,1.07,2001.2,1,0
75015,lying,0,0,74.04,1864.7,51.1,1.10,2046.9,1,0
75418,lying,0,0,87.28,1870.0,51.9,1.09,2046.9,1,1
75814,lying,0,3,87.28,1872.7,53.2,1.09,2046.9,1,1
76356,lying,0,3,87.28,1880.2,48.1,1.09,2046.9,1,1
76655,lying,0,3,85.56,1885.2,45.4,1.09,2046.9,1,1
77090,lying,0,3,90.05,1890.5,44.8,1.08,2046.9,1,1
77455,lying,0,3,90.05,1892.6,53.5,1.07,2022.1,1,1
77856,lying,0,3,90.05,1890.9,83.4,1.11,2093.2,1,1
78262,lying,0,3,90.05,1876.0,146.8,1.23,2314.3,1,1
78657,lying,0,4,92.80,1904.3,191.4,1.22,2320.0,1,1
79101,lying,0,4,92.80,1905.6,196.8,1.22,2320.0,1,1
79457,lying,0,4,94.02,1898.5,208.0,1.22,2320.0,1,1
79856,lying,0,4,94.02,1894.3,203.7,1.22,2320.0,1,1
80276,lying,0,4,82.11,1896.5,195.0,1.22,2320.0,1,1
80785,lying,0,3,82.11,1912.0,154.3,1.21,2320.0,1,1
81057,lying,0,3,82.11,1894.8,125.1,1.19,2248.5,1,1
81505,lying,0,3,82.11,1882.1,129.5,1.19,2248.5,1,1
81857,lying,0,3,82.11,1894.3,133.2,1.19,2248.5,1,1
82268,lying,0,0,82.11,1869.8,152.3,1.20,2248.5,1,1
82658,lying,0,0,82.11,1870.7,155.9,1.20,2248.5,1,1
83058,lying,0,0,82.11,1864.3,152.1,1.21,2248.5,1,1
83537,lying,0,0,82.11,1850.8,125.3,1.19,2204.5,1,1
83858,lying,0,0,82.11,1859.2,114.4,1.19,2204.5,1,1
84264,lying,0,0,82.11,1847.4,83.9,1.11,2046.3,1,0
84659,lying,0,3,82.11,1884.3,100.2,1.26,2374.6,1,0
85157,lying,0,3,82.11,1881.0,97.3,1.26,2374.6,1,0
85459,lying,0,3,82.11,1892.5,175.3,1.39,2632.7,1,0
85867,lying,0,4,92.05,1907.1,201.2,1.38,2632.7,1,1
86251,lying,0,4,92.05,1906.6,214.2,1.38,2632.7,1,1
86660,lying,0,4,92.05,1893.9,244.0,1.39,2632.7,1,1
87052,lying,0,4,92.05,1879.9,230.0,1.40,2632.7,1,1
87462,lying,0,4,103.23,1883.0,235.4,1.40,2632.7,1,1
87873,lying,0,2,103.23,1868.2,189.0,1.34,2495.1,1,1
88252,lying,0,0,103.23,1854.8,161.7,1.28,2381.8,1,1
88677,lying,0,0,103.23,1857.9,146.4,1.28,2381.8,1,1
89051,lying,0,3,91.97,1872.4,96.7,1.16,2169.7,1,1
89603,lying,0,3,91.97,1873.0,99.8,1.16,2169.7,1,1
89860,lying,0,3,91.97,1872.3,96.2,1.11,2074.5,1,1
